Trade #,Type,Date/Time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
116,Exit long,2025-03-24 16:00,Hedge (BE),86850.6,2.742377,234226.1453,3714.74,1.59,5418.38,2.31,-6314.61,-2.69,233048.14,4660.96
116,Entry long,2025-03-20 04:00,Breakout,85409.9,2.742377,234226.1453,3714.74,1.59,5418.38,2.31,-6314.61,-2.69,233048.14,4660.96
117,Exit long,2025-04-03 08:00,Hedge (BE),82489,2.875527,237929.1555,-967.37,-0.41,16436.02,6.90,-4448.07,-1.87,232080.77,4641.62
117,Entry long,2025-03-30 04:00,Sweep,82742.8,2.875527,237929.1555,-967.37,-0.41,16436.02,6.90,-4448.07,-1.87,232080.77,4641.62
118,Exit long,2025-05-31 12:00,TP EMA-Mid (160),103646.3,2.717928,236955.2143,44488.64,18.77,67195.63,28.34,-2353.43,-0.99,276569.4,5531.39
118,Entry long,2025-04-21 12:00,Breakout,87182.3,2.717928,236955.2143,44488.64,18.77,67195.63,28.34,-2353.43,-0.99,276569.4,5531.39
119,Exit long,2025-06-13 08:00,Stop Loss (HYBRID),105294.8,2.613079,281428.0857,-6562.74,-2.33,7516.39,2.67,-6425.17,-2.28,270006.66,5400.13
119,Entry long,2025-06-09 20:00,Breakout,107699.8,2.613079,281428.0857,-6562.74,-2.33,7516.39,2.67,-6425.17,-2.28,270006.66,5400.13
120,Exit long,2025-06-17 08:00,Stop Loss (HYBRID),106160,2.531206,274869.2282,-6428.19,-2.34,709,0.26,-6293.83,-2.29,263578.47,5271.57
120,Entry long,2025-06-17 04:00,Breakout,108592.2,2.531206,274869.2282,-6428.19,-2.34,709,0.26,-6293.83,-2.29,263578.47,5271.57
121,Exit long,2025-07-02 04:00,TP EMA-Mid (160),105341.6,2.660437,268444.7444,11535.6,4.30,20735.84,7.72,-3649.99,-1.36,275114.06,5502.28
